trialNum	songNumber	songFileName	songDur	fixTime	responded	rt	postMusicTime	reply	promptRT	choicesMC	respMC	rtMC	outcomeMC	preFeedbackTime
27	99	she'll be coming 'round the mountain.wav	8.859999999999999	0.4874318524111644	1	3.482306199963205	0.4802495187748799	n/a	10.65194489993155	16   48   99   52	3	12.16773560002912	1	1.153402842606643
28	26	camptown races.wav	8.305986394557824	0.4156593814544556	1	2.680696199997328	0.4915420403522562	doda doda	8.945900099934079	26   74   96  103	2	15.03714639996178	0	1.057320844851047
29	51	home on the range.wav	13.08498866213152	0.4532514583327125	0	n/a	0.4669418400376449	n/a	1.729771200101823	10   51   43  104	1	3.248882399988361	0	1.018239430337735
30	6	YMCA.wav	14.33501133786848	0.4269633955169896	0	n/a	0.4233086901218582	n/a	1.667293200036511	22    6   50   62	1	5.479889000067487	0	1.132227943513126
31	76	my girl.wav	10.44498866213152	0.4610242979009027	0	n/a	0.4557670693926216	n/a	1.860697499942034	121  112  106   76	2	8.063066300004721	0	1.044331269069704
32	93	ring of fire.wav	9.044988662131519	0.4098797651011718	0	n/a	0.457440753693957	n/a	2.456956400070339	48   92   49   93	4	5.984899200033396	1	1.062210512749686
33	64	london bridge.wav	6.706984126984127	0.466130888102146	1	2.412571999942884	0.4982638081015297	n/a	15.67817209998611	18   24   64  106	3	3.335021400009282	1	1.173474268228437
34	44	good night ladies.wav	6.378004535147392	0.4836487854316728	1	5.492644600104541	0.4600627172283817	n/a	7.946248100022785	44   75   80   77	4	20.32235139992554	0	1.014183475861093
35	120	yankee doodle.wav	8.572018140589568	0.4540050860615622	1	2.754554099985398	0.486958568682328	n/a	11.13294009992387	62  120   25   86	2	12.16353969997726	1	1.07135355613409
36	32	daisy bell.wav	8.062993197278912	0.497554536102451	1	5.01484940003138	0.431238071660108	n/a	5.065827199956402	32   34   88   76	1	3.036150100058876	1	1.04484092977984
37	107	swing low sweet chariot.wav	9.66	0.426150950273869	0	n/a	0.4943947325583607	n/a	1.414633199921809	87   62   91  107	3	2.396725700004026	0	1.069015778215994
38	102	smoke on the water.wav	7.838004535147392	0.4440137315138632	1	7.723692500032485	0.4868867554892573	n/a	2.021737099974416	24   31    4  102	4	7.999392100027762	1	1.184220129220881
39	46	happy birthday.wav	7.078004535147392	0.4936526348922958	1	3.356751899933442	0.4374338740809356	n/a	11.17264730005991	92   46   43   72	2	2.996062200050801	1	1.184585079801916
40	40	eye of the tiger.wav	8.305986394557824	0.4078182184301428	0	n/a	0.4521784697995007	n/a	2.12573450000491	40   60   85  114	3	8.114431599969976	0	1.066767285788188
41	47	happy trails.wav	9.331020408163266	0.4595045797314345	0	n/a	0.4188590860839368	n/a	4.109902800060809	47   20   37   44	1	2.491358800092712	1	1.007360404834765
42	29	cindy.wav	9.372018140589569	0.4619812127430865	1	7.799657800002024	0.4891658769617754	n/a	2.612034699996002	29   63   82  108	2	14.86947959999088	0	1.194330848130651
43	94	rock-a-bye baby.wav	13.92498866213152	0.4510212625787705	1	3.195449000108056	0.4711669366767862	sleep little baby	16.45830080006272	94  114   87   40	1	5.067677399958484	1	1.020035199823516
44	3	I think we're alone now.wav	6.298004535147392	0.451851050840235	0	n/a	0.4502272655456575	n/a	2.55211499996949	29   60    3   75	1	2.060634099994786	0	1.144972321081478
45	13	america the beautiful.wav	9.33201814058957	0.4197049390461123	0	n/a	0.4759715325047821	n/a	2.233584000030532	70   45   13  119	2	4.292299799970351	0	1.154665896335571
46	38	eight days a week.wav	12.28399092970522	0.4420463015689572	0	n/a	0.4896434032175814	n/a	0.9612754000118002	82   63  113   38	3	6.129699400044046	0	1.033833395669782
47	57	it's a small world.wav	9.291020408163265	0.467641713521773	1	7.058633700013161	0.4948953384187302	n/a	3.407905000029132	46   90   57   58	4	14.61482909996994	0	1.025442935875551
48	110	tequila.wav	9.256009070294784	0.4836275029962215	0	n/a	0.4898042574367433	n/a	2.1655273999786	45   79  110   33	1	2.764843499986455	0	1.141582851447646
49	69	mary had a little lamb.wav	9.045986394557824	0.4126810194066168	1	3.099834499997087	0.415254241053345	mary had a little lamb	19.46460549999028	70   69   44   15	2	2.700744200032204	1	1.166037720715537
50	50	hickory dickory dock.wav	7.077006802721089	0.4373328548473919	1	3.495599000016227	0.4646709886053468	hickery dickory duck	16.26907329994719	94   95   50   86	3	2.619920699973591	1	1.034452124774646
51	78	oh susanna.wav	12.05800453514739	0.4420123167850529	1	3.130965400021523	0.4535149253545044	n/a	4.827238900004886	65   15   78   75	1	6.911745099932887	0	1.010455896649097
52	27	can't help falling in love.wav	13.4990022675737	0.4310532358322501	0	n/a	0.4453393703953453	n/a	2.065699099912308	101   96   27   56	2	4.108972799964249	0	1.136045801082014
53	105	sugar sugar.wav	7.83501133786848	0.498628462835944	0	n/a	0.422451619239319	n/a	2.026024800026789	105   41   26   69	3	6.992204700014554	0	1.116396560136317
54	121	you're a grand old flag.wav	9.33201814058957	0.4335043385654354	0	n/a	0.4995155652840108	n/a	1.319961500004865	81  106  121   69	2	3.782840400002897	0	1.143447720675688
55	39	everlasting love.wav	8.305986394557824	0.469108773811169	0	n/a	0.4484016007564998	n/a	0.9032725000288337	6   88   39   93	2	4.191118799964897	0	1.173861411821054
56	4	I've been working on the railroad.wav	9.311020408163266	0.4459972251401483	1	4.048422699910589	0.4741295278923577	n/a	9.109620399889536	7   52   12    4	4	12.06907810003031	1	1.016319767910638
57	118	when the saints go marching in.wav	7.611020408163266	0.4715660673087607	0	n/a	0.4206426221868076	n/a	2.672201199922711	118   77   40  114	1	6.333839699975215	1	1.027947420262181
58	104	star spangled banner.wav	12.83800453514739	0.4758473633862486	0	n/a	0.406711519233143	n/a	2.614256399916485	109   16  104  107	3	5.742729199933819	1	1.069622212300705
59	88	polly wolly doodle.wav	9.334013605442177	0.4961529409066136	1	4.826375099946745	0.4389310049576311	n/a	6.219021899974905	9   90   88   77	3	10.86669189995155	1	1.061280202806459
60	61	let it be.wav	12.88199546485261	0.4914235109716077	0	n/a	0.4821206741903517	n/a	1.812234000070021	61   77  111   46	1	5.391327799996361	1	1.15333207931204
61	111	the bare necessities.wav	8.511020408163265	0.4997549959110456	0	n/a	0.4830489568059628	n/a	2.254593699937686	45  111  110   49	2	2.169153199996799	1	1.137613271540633
62	74	my country 'tis of thee.wav	14.21201814058957	0.45937529127712	0	n/a	0.4962492045040459	n/a	3.388830100069754	11   39  102   74	2	9.581255999975838	0	1.159790855279851
63	91	puff the magic dragon.wav	9.333015873015873	0.4618522366706219	0	n/a	0.4701379368406184	n/a	2.453763999976218	98    4   91  107	3	7.157366799889132	1	1.128221409563626
